1 iteration | итерация: 27
2 iteration | итерация: 27
3 iteration | итерация: 27
4 iteration | итерация: 27
5 iteration | итерация: 27
6 iteration | итерация: 27
7 iteration | итерация: 27
8 iteration | итерация: 27
9 iteration | итерация: 27
10 iteration | итерация: 27
11 iteration | итерация: 27
12 iteration | итерация: 27
13 iteration | итерация: 27
14 iteration | итерация: 27
15 iteration | итерация: 27
16 iteration | итерация: 27
17 iteration | итерация: 27
18 iteration | итерация: 27
19 iteration | итерация: 27
20 iteration | итерация: 27
21 iteration | итерация: 27
22 iteration | итерация: 27
23 iteration | итерация: 27
24 iteration | итерация: 27
25 iteration | итерация: 27
26 iteration | итерация: 27
27 iteration | итерация: 27
28 iteration | итерация: 27
29 iteration | итерация: 27
30 iteration | итерация: 27
31 iteration | итерация: 27
32 iteration | итерация: 27
33 iteration | итерация: 27
34 iteration | итерация: 27
35 iteration | итерация: 27
36 iteration | итерация: 27
37 iteration | итерация: 27
38 iteration | итерация: 27
39 iteration | итерация: 27
40 iteration | итерация: 27
41 iteration | итерация: 27
42 iteration | итерация: 27
43 iteration | итерация: 27
44 iteration | итерация: 27
45 iteration | итерация: 27
46 iteration | итерация: 27
47 iteration | итерация: 27
48 iteration | итерация: 27
49 iteration | итерация: 27
50 iteration | итерация: 27
51 iteration | итерация: 27
52 iteration | итерация: 27
53 iteration | итерация: 27
54 iteration | итерация: 27
55 iteration | итерация: 27
56 iteration | итерация: 27
57 iteration | итерация: 27
58 iteration | итерация: 27
59 iteration | итерация: 27
60 iteration | итерация: 27
61 iteration | итерация: 27
62 iteration | итерация: 27
63 iteration | итерация: 27
64 iteration | итерация: 27
65 iteration | итерация: 27
66 iteration | итерация: 27
67 iteration | итерация: 27
68 iteration | итерация: 27
69 iteration | итерация: 27
70 iteration | итерация: 27
71 iteration | итерация: 27
72 iteration | итерация: 27
73 iteration | итерация: 27
74 iteration | итерация: 27
75 iteration | итерация: 27
76 iteration | итерация: 27
77 iteration | итерация: 27
78 iteration | итерация: 27
79 iteration | итерация: 27
80 iteration | итерация: 27
81 iteration | итерация: 27
82 iteration | итерация: 27
83 iteration | итерация: 27
84 iteration | итерация: 27
85 iteration | итерация: 27
86 iteration | итерация: 27
87 iteration | итерация: 27
88 iteration | итерация: 27
89 iteration | итерация: 27
90 iteration | итерация: 27
91 iteration | итерация: 27
92 iteration | итерация: 27
93 iteration | итерация: 27
94 iteration | итерация: 27
95 iteration | итерация: 27
96 iteration | итерация: 27
97 iteration | итерация: 27
98 iteration | итерация: 27
99 iteration | итерация: 27
100 iteration | итерация: 27
