1 iteration | итерация: 25
2 iteration | итерация: 26
3 iteration | итерация: 26
4 iteration | итерация: 26
5 iteration | итерация: 26
6 iteration | итерация: 26
7 iteration | итерация: 26
8 iteration | итерация: 26
9 iteration | итерация: 25
10 iteration | итерация: 25
11 iteration | итерация: 23
12 iteration | итерация: 23
13 iteration | итерация: 26
14 iteration | итерация: 26
15 iteration | итерация: 23
16 iteration | итерация: 26
17 iteration | итерация: 26
18 iteration | итерация: 23
19 iteration | итерация: 26
20 iteration | итерация: 26
21 iteration | итерация: 25
22 iteration | итерация: 23
23 iteration | итерация: 25
24 iteration | итерация: 26
25 iteration | итерация: 26
26 iteration | итерация: 25
27 iteration | итерация: 26
28 iteration | итерация: 26
29 iteration | итерация: 26
30 iteration | итерация: 26
31 iteration | итерация: 26
32 iteration | итерация: 26
33 iteration | итерация: 24
34 iteration | итерация: 25
35 iteration | итерация: 26
36 iteration | итерация: 25
37 iteration | итерация: 26
38 iteration | итерация: 26
39 iteration | итерация: 26
40 iteration | итерация: 25
41 iteration | итерация: 26
42 iteration | итерация: 23
43 iteration | итерация: 26
44 iteration | итерация: 23
45 iteration | итерация: 26
46 iteration | итерация: 26
47 iteration | итерация: 26
48 iteration | итерация: 26
49 iteration | итерация: 26
50 iteration | итерация: 26
51 iteration | итерация: 23
52 iteration | итерация: 25
53 iteration | итерация: 26
54 iteration | итерация: 26
55 iteration | итерация: 26
56 iteration | итерация: 26
57 iteration | итерация: 26
58 iteration | итерация: 26
59 iteration | итерация: 26
60 iteration | итерация: 26
61 iteration | итерация: 25
62 iteration | итерация: 23
63 iteration | итерация: 25
64 iteration | итерация: 25
65 iteration | итерация: 23
66 iteration | итерация: 26
67 iteration | итерация: 26
68 iteration | итерация: 26
69 iteration | итерация: 26
70 iteration | итерация: 26
71 iteration | итерация: 26
72 iteration | итерация: 26
73 iteration | итерация: 26
74 iteration | итерация: 26
75 iteration | итерация: 23
76 iteration | итерация: 25
77 iteration | итерация: 25
78 iteration | итерация: 23
79 iteration | итерация: 23
80 iteration | итерация: 24
81 iteration | итерация: 26
82 iteration | итерация: 26
83 iteration | итерация: 26
84 iteration | итерация: 26
85 iteration | итерация: 26
86 iteration | итерация: 23
87 iteration | итерация: 26
88 iteration | итерация: 26
89 iteration | итерация: 25
90 iteration | итерация: 25
91 iteration | итерация: 26
92 iteration | итерация: 26
93 iteration | итерация: 25
94 iteration | итерация: 26
95 iteration | итерация: 26
96 iteration | итерация: 24
97 iteration | итерация: 26
98 iteration | итерация: 25
99 iteration | итерация: 26
100 iteration | итерация: 26
