1 iteration | итерация: 29
2 iteration | итерация: 28
3 iteration | итерация: 29
4 iteration | итерация: 29
5 iteration | итерация: 28
6 iteration | итерация: 29
7 iteration | итерация: 29
8 iteration | итерация: 28
9 iteration | итерация: 29
10 iteration | итерация: 29
11 iteration | итерация: 27
12 iteration | итерация: 29
13 iteration | итерация: 29
14 iteration | итерация: 29
15 iteration | итерация: 29
16 iteration | итерация: 29
17 iteration | итерация: 29
18 iteration | итерация: 29
19 iteration | итерация: 29
20 iteration | итерация: 29
21 iteration | итерация: 29
22 iteration | итерация: 29
23 iteration | итерация: 29
24 iteration | итерация: 29
25 iteration | итерация: 29
26 iteration | итерация: 29
27 iteration | итерация: 29
28 iteration | итерация: 29
29 iteration | итерация: 29
30 iteration | итерация: 29
31 iteration | итерация: 29
32 iteration | итерация: 29
33 iteration | итерация: 29
34 iteration | итерация: 29
35 iteration | итерация: 29
36 iteration | итерация: 29
37 iteration | итерация: 29
38 iteration | итерация: 29
39 iteration | итерация: 29
40 iteration | итерация: 29
41 iteration | итерация: 29
42 iteration | итерация: 29
43 iteration | итерация: 29
44 iteration | итерация: 29
45 iteration | итерация: 29
46 iteration | итерация: 29
47 iteration | итерация: 29
48 iteration | итерация: 29
49 iteration | итерация: 29
50 iteration | итерация: 29
51 iteration | итерация: 28
52 iteration | итерация: 29
53 iteration | итерация: 29
54 iteration | итерация: 29
55 iteration | итерация: 29
56 iteration | итерация: 29
57 iteration | итерация: 29
58 iteration | итерация: 29
59 iteration | итерация: 29
60 iteration | итерация: 29
61 iteration | итерация: 29
62 iteration | итерация: 29
63 iteration | итерация: 29
64 iteration | итерация: 29
65 iteration | итерация: 29
66 iteration | итерация: 29
67 iteration | итерация: 29
68 iteration | итерация: 29
69 iteration | итерация: 29
70 iteration | итерация: 29
71 iteration | итерация: 29
72 iteration | итерация: 29
73 iteration | итерация: 29
74 iteration | итерация: 29
75 iteration | итерация: 29
76 iteration | итерация: 29
77 iteration | итерация: 29
78 iteration | итерация: 29
79 iteration | итерация: 29
80 iteration | итерация: 29
81 iteration | итерация: 29
82 iteration | итерация: 29
83 iteration | итерация: 29
84 iteration | итерация: 29
85 iteration | итерация: 29
86 iteration | итерация: 29
87 iteration | итерация: 29
88 iteration | итерация: 29
89 iteration | итерация: 28
90 iteration | итерация: 28
91 iteration | итерация: 29
92 iteration | итерация: 29
93 iteration | итерация: 29
94 iteration | итерация: 29
95 iteration | итерация: 29
96 iteration | итерация: 29
97 iteration | итерация: 29
98 iteration | итерация: 29
99 iteration | итерация: 29
100 iteration | итерация: 29
