1 iteration | итерация: 25
2 iteration | итерация: 31
3 iteration | итерация: 25
4 iteration | итерация: 31
5 iteration | итерация: 25
6 iteration | итерация: 25
7 iteration | итерация: 25
8 iteration | итерация: 28
9 iteration | итерация: 25
10 iteration | итерация: 28
11 iteration | итерация: 25
12 iteration | итерация: 25
13 iteration | итерация: 25
14 iteration | итерация: 25
15 iteration | итерация: 28
16 iteration | итерация: 29
17 iteration | итерация: 28
18 iteration | итерация: 25
19 iteration | итерация: 30
20 iteration | итерация: 25
21 iteration | итерация: 28
22 iteration | итерация: 25
23 iteration | итерация: 26
24 iteration | итерация: 25
25 iteration | итерация: 29
26 iteration | итерация: 28
27 iteration | итерация: 28
28 iteration | итерация: 25
29 iteration | итерация: 28
30 iteration | итерация: 27
31 iteration | итерация: 28
32 iteration | итерация: 25
33 iteration | итерация: 25
34 iteration | итерация: 30
35 iteration | итерация: 26
36 iteration | итерация: 25
37 iteration | итерация: 25
38 iteration | итерация: 25
39 iteration | итерация: 25
40 iteration | итерация: 28
41 iteration | итерация: 28
42 iteration | итерация: 25
43 iteration | итерация: 25
44 iteration | итерация: 25
45 iteration | итерация: 29
46 iteration | итерация: 25
47 iteration | итерация: 30
48 iteration | итерация: 25
49 iteration | итерация: 25
50 iteration | итерация: 25
51 iteration | итерация: 27
52 iteration | итерация: 28
53 iteration | итерация: 25
54 iteration | итерация: 25
55 iteration | итерация: 25
56 iteration | итерация: 25
57 iteration | итерация: 28
58 iteration | итерация: 25
59 iteration | итерация: 25
60 iteration | итерация: 25
61 iteration | итерация: 25
62 iteration | итерация: 28
63 iteration | итерация: 25
64 iteration | итерация: 26
65 iteration | итерация: 30
66 iteration | итерация: 25
67 iteration | итерация: 30
68 iteration | итерация: 28
69 iteration | итерация: 25
70 iteration | итерация: 28
71 iteration | итерация: 29
72 iteration | итерация: 26
73 iteration | итерация: 28
74 iteration | итерация: 25
75 iteration | итерация: 29
76 iteration | итерация: 25
77 iteration | итерация: 30
78 iteration | итерация: 25
79 iteration | итерация: 29
80 iteration | итерация: 25
81 iteration | итерация: 29
82 iteration | итерация: 25
83 iteration | итерация: 25
84 iteration | итерация: 30
85 iteration | итерация: 25
86 iteration | итерация: 25
87 iteration | итерация: 28
88 iteration | итерация: 25
89 iteration | итерация: 25
90 iteration | итерация: 29
91 iteration | итерация: 25
92 iteration | итерация: 32
93 iteration | итерация: 25
94 iteration | итерация: 27
95 iteration | итерация: 28
96 iteration | итерация: 28
97 iteration | итерация: 28
98 iteration | итерация: 25
99 iteration | итерация: 28
100 iteration | итерация: 29
