1 iteration | итерация: 28
2 iteration | итерация: 28
3 iteration | итерация: 28
4 iteration | итерация: 28
5 iteration | итерация: 28
6 iteration | итерация: 28
7 iteration | итерация: 28
8 iteration | итерация: 28
9 iteration | итерация: 28
10 iteration | итерация: 28
11 iteration | итерация: 28
12 iteration | итерация: 28
13 iteration | итерация: 28
14 iteration | итерация: 28
15 iteration | итерация: 28
16 iteration | итерация: 28
17 iteration | итерация: 28
18 iteration | итерация: 28
19 iteration | итерация: 28
20 iteration | итерация: 28
21 iteration | итерация: 28
22 iteration | итерация: 28
23 iteration | итерация: 28
24 iteration | итерация: 28
25 iteration | итерация: 28
26 iteration | итерация: 28
27 iteration | итерация: 28
28 iteration | итерация: 28
29 iteration | итерация: 28
30 iteration | итерация: 28
31 iteration | итерация: 28
32 iteration | итерация: 28
33 iteration | итерация: 28
34 iteration | итерация: 28
35 iteration | итерация: 28
36 iteration | итерация: 28
37 iteration | итерация: 28
38 iteration | итерация: 28
39 iteration | итерация: 28
40 iteration | итерация: 28
41 iteration | итерация: 28
42 iteration | итерация: 28
43 iteration | итерация: 28
44 iteration | итерация: 28
45 iteration | итерация: 28
46 iteration | итерация: 28
47 iteration | итерация: 28
48 iteration | итерация: 28
49 iteration | итерация: 28
50 iteration | итерация: 28
51 iteration | итерация: 28
52 iteration | итерация: 28
53 iteration | итерация: 28
54 iteration | итерация: 28
55 iteration | итерация: 28
56 iteration | итерация: 28
57 iteration | итерация: 28
58 iteration | итерация: 28
59 iteration | итерация: 28
60 iteration | итерация: 28
61 iteration | итерация: 28
62 iteration | итерация: 28
63 iteration | итерация: 28
64 iteration | итерация: 28
65 iteration | итерация: 28
66 iteration | итерация: 28
67 iteration | итерация: 28
68 iteration | итерация: 28
69 iteration | итерация: 28
70 iteration | итерация: 28
71 iteration | итерация: 28
72 iteration | итерация: 28
73 iteration | итерация: 28
74 iteration | итерация: 28
75 iteration | итерация: 28
76 iteration | итерация: 28
77 iteration | итерация: 28
78 iteration | итерация: 28
79 iteration | итерация: 28
80 iteration | итерация: 28
81 iteration | итерация: 28
82 iteration | итерация: 28
83 iteration | итерация: 28
84 iteration | итерация: 28
85 iteration | итерация: 28
86 iteration | итерация: 28
87 iteration | итерация: 28
88 iteration | итерация: 28
89 iteration | итерация: 28
90 iteration | итерация: 28
91 iteration | итерация: 28
92 iteration | итерация: 28
93 iteration | итерация: 28
94 iteration | итерация: 28
95 iteration | итерация: 28
96 iteration | итерация: 28
97 iteration | итерация: 28
98 iteration | итерация: 28
99 iteration | итерация: 28
100 iteration | итерация: 28
